year,month,timestamp_utc,coin,entry,sl,tp
2024,12,2024-12-15T15:21:26+00:00,BTC,9.1,93.3414,
2024,12,2024-12-16T07:16:27+00:00,UXLINK,0.9,0.6558,1.7923
2024,12,2024-12-16T15:37:25+00:00,1000CHEEMS,0.0008587,0.000592,0.0026553
2024,12,2024-12-18T07:14:14+00:00,1000WHY,0.0001531,0.0001205,0.0002697
2024,12,2024-12-18T07:20:59+00:00,1000WHY,0.0001531,0.0001205,0.0002697
2024,12,2024-12-18T20:21:14+00:00,BTC,,94.128,140.152
2024,12,2024-12-19T16:04:45+00:00,BTC,100.453,90.358,180.828
2024,12,2024-12-20T15:49:13+00:00,DOGE,0.30777,0.26056,0.42947
2024,12,2024-12-22T08:50:29+00:00,SUI,4.46,,12.0666
2024,12,2024-12-22T12:30:20+00:00,XVG,0.0114769,0.007294,0.0761678
2024,12,2024-12-23T10:46:40+00:00,VIRTUAL,2.6,2.0288,5.71
2024,12,2024-12-23T21:05:14+00:00,TAO,494.65,320.0,2.011
2024,12,2024-12-23T22:10:36+00:00,ZEC,64.7,45.92,
2024,12,2024-12-25T06:53:00+00:00,USUAL,1.3333,0.9373,2.8161
2024,12,2024-12-26T11:25:07+00:00,ZEN,40.372,,130.625
2024,12,2024-12-26T11:29:51+00:00,MOVE,1.1358,0.8043,2.2818
2024,12,2024-12-27T16:41:16+00:00,BTC,94.346,2.132,103.275
2024,12,2024-12-27T17:49:23+00:00,SUI,4.2,3.4424,10.0
2024,12,2024-12-27T17:50:35+00:00,ETH,3.333,3.081,4.444
2024,12,2024-12-28T15:09:34+00:00,STEEM,0.271,0.19426,0.60392
2024,12,2024-12-28T17:23:33+00:00,XRP,2.2036,,10.0857
2024,12,2024-12-31T17:08:44+00:00,STEEM,0.273,0.20074,0.60392
2025,1,2025-01-01T11:46:24+00:00,XVG,0.013,0.009228,0.99015
2025,1,2025-01-01T11:49:12+00:00,XRP,2.134,1.8165,3.616
2025,1,2025-01-01T11:50:45+00:00,XLM,0.36283,0.2764,0.80226
2025,1,2025-01-02T14:39:10+00:00,GOAT,0.595,0.831,4.5928
2025,1,2025-01-02T14:53:28+00:00,AGLD,2.5497,,10.1506
2025,1,2025-01-03T01:48:03+00:00,HBAR,0.29714,0.23191,
2025,1,2025-01-03T03:23:21+00:00,XVG,0.015118,0.009979,
2025,1,2025-01-03T15:57:25+00:00,BIO,0.82,0.5706,9.0339
2025,1,2025-01-07T06:53:59+00:00,XVG,0.015,0.010135,0.082413
2025,1,2025-01-08T12:08:26+00:00,XRP,2.3334,1.8806,2.1916
2025,1,2025-01-08T12:08:51+00:00,XLM,0.43041,0.31015,0.39683
2025,1,2025-01-09T01:42:58+00:00,XLM,0.43041,0.31015,0.39683
2025,1,2025-01-09T01:43:08+00:00,XRP,2.3334,1.8806,2.1916
2025,1,2025-01-09T08:29:12+00:00,STEEM,0.3164,0.23152,0.60392
2025,1,2025-01-10T05:38:48+00:00,SUI,4.8854,3.5074,10.3325
2025,1,2025-01-13T04:15:38+00:00,XRP,,2.3276,
2025,1,2025-01-16T17:43:42+00:00,SUI,4.8502,3.4877,10.0453
2025,1,2025-01-17T00:35:35+00:00,XLM,0.48593,0.38823,1.01783
2025,1,2025-01-24T00:08:26+00:00,ETH,,2.901,6.014
2025,1,2025-01-25T03:46:48+00:00,PIPPIN,0.12147,0.07959,0.24493
2025,1,2025-01-25T03:56:58+00:00,ANIME,0.0599,0.0475,0.102
2025,1,2025-01-25T04:29:34+00:00,SPELL,0.0011211,0.0007884,0.0059601
2025,1,2025-01-31T02:09:01+00:00,BTC,104.7,97.565,128.798
2025,1,2025-01-31T07:33:05+00:00,ANIME,0.0499,0.0403,0.094
2025,2,2025-02-01T16:05:11+00:00,BTC,102.0,91.894,150.146
2025,2,2025-02-05T11:01:57+00:00,VVV,5.7,3.575,19.132
2025,2,2025-02-05T15:28:47+00:00,BAN,0.06,0.0372,0.347
2025,2,2025-02-07T02:57:12+00:00,BTC,97.394,91.014,130.039
2025,2,2025-02-07T03:21:17+00:00,BTC,97.394,91.014,130.039
2025,2,2025-02-08T18:28:41+00:00,ALPACA,0.1127,0.07926,
2025,2,2025-02-08T18:59:28+00:00,TAO,340.74,228.19,72.216
2025,2,2025-02-09T02:28:31+00:00,UXLINK,0.7795,0.4888,3.8687
2025,2,2025-02-10T22:38:09+00:00,LOKA,0.131,0.0893,0.3436
2025,2,2025-02-11T04:02:22+00:00,ALCH,0.02847,0.01949,
2025,2,2025-02-11T04:12:01+00:00,PIPPIN,0.0305,0.02293,0.10238
2025,2,2025-02-11T05:16:55+00:00,TST,0.2158,0.1396,1.086
2025,2,2025-02-12T00:04:43+00:00,LAYER,0.8816,0.6737,4.0041
2025,2,2025-02-12T15:46:21+00:00,TST,0.179,0.1283,1.0494
2025,2,2025-02-12T19:32:13+00:00,LTC,123.0,79.38,400.91
2025,2,2025-02-13T18:19:37+00:00,LUMIA,0.6,0.421,1.306
2025,2,2025-02-14T13:09:27+00:00,HEI,0.8086,0.6239,
2025,2,2025-02-15T02:04:51+00:00,XRP,2.7822,2.2362,10.1768
2025,2,2025-02-16T08:02:26+00:00,ARK,0.436,0.3102,0.7358
2025,2,2025-02-16T08:08:30+00:00,TROY,0.001666,0.001081,0.004704
2025,2,2025-02-18T07:35:03+00:00,BTC,95.513,92.421,102.084
2025,2,2025-02-18T07:37:53+00:00,BTC,95.513,92.421,102.084
2025,2,2025-02-18T20:28:00+00:00,BTC,94.135,91.3,111.305
2025,2,2025-02-19T11:47:14+00:00,GPS,0.1334,0.0983,0.402
2025,2,2025-02-22T10:27:30+00:00,ETH,2.74,2.428,4.107
2025,2,2025-02-22T16:32:18+00:00,1000CHEEMS,,0.000109,
2025,2,2025-02-22T18:32:21+00:00,BNB,667.51,580.54,1.009
2025,2,2025-02-24T03:45:42+00:00,KAITO,1.6015,1.1633,4.0249
2025,2,2025-02-24T20:16:42+00:00,TAO,424.12,343.91,
2025,2,2025-02-26T09:53:43+00:00,GPS,0.135,0.0994,
2025,2,2025-02-27T07:28:09+00:00,LTC,128.5,104.84,302.57
2025,3,2025-03-01T04:58:34+00:00,BTC,,78.095,130.42
2025,3,2025-03-01T09:08:34+00:00,SHELL,0.502,0.3314,0.8513
2025,3,2025-03-01T09:28:54+00:00,IP,5.47052,3.68226,11.38083
2025,3,2025-03-03T13:13:03+00:00,BTC,92.88,4.987,111.604
2025,3,2025-03-04T16:53:26+00:00,ALCH,0.05544,0.03445,0.22977
2025,3,2025-03-09T15:08:46+00:00,REZ,0.02663,0.01602,0.08106
2025,3,2025-03-09T20:27:59+00:00,BTC,83.069,79.285,91.06
2025,3,2025-03-10T09:22:34+00:00,BTC,83.101,7.25,91.587
2025,3,2025-03-10T10:06:55+00:00,ETH,2.102,1.98,72.651
2025,3,2025-03-10T12:58:15+00:00,REZ,0.02663,0.01602,0.08106
2025,3,2025-03-11T18:14:18+00:00,REZ,0.02844,0.01602,0.08106
2025,3,2025-03-11T21:08:23+00:00,XRP,2.2,1.7352,7.2343
2025,3,2025-03-11T21:12:35+00:00,HBAR,0.19759,0.15394,70.46961
2025,3,2025-03-12T07:52:29+00:00,BTC,82.066,78.726,90.442
2025,3,2025-03-12T19:28:51+00:00,XRP,2.2389,1.8512,7.0056
2025,3,2025-03-12T22:49:32+00:00,LAYER,1.0449,,2.2795
2025,3,2025-03-13T09:54:03+00:00,EPIC,1.6279,1.2794,6.0432
2025,3,2025-03-14T02:47:05+00:00,XRP,2.287,1.8881,7.0056
2025,3,2025-03-14T15:06:40+00:00,BTC,,76.223,108.285
2025,3,2025-03-14T22:04:17+00:00,BTC,84.0,5.998,108.195
2025,3,2025-03-16T00:12:16+00:00,BTC,84.256,75.895,108.936
2025,3,2025-03-16T00:41:07+00:00,BANANA,18.3,13.478,42.038
2025,3,2025-03-17T06:01:39+00:00,CAKE,2.453,,17.475
2025,3,2025-03-17T06:24:27+00:00,1000CHEEMS,0.0010165,0.0006109,0.0091135
2025,3,2025-03-17T11:18:29+00:00,TST,0.0774,0.0485,0.3745
2025,3,2025-03-18T01:01:43+00:00,BMT,0.1607,0.1105,
2025,3,2025-03-18T22:38:31+00:00,BMT,0.2584,0.1755,
2025,3,2025-03-18T23:03:30+00:00,1000X,0.08908,0.0499,0.3347
2025,3,2025-03-18T23:45:58+00:00,BTC,82.669,76.644,108.176
2025,3,2025-03-19T15:05:31+00:00,XRP,2.539,,
2025,3,2025-03-19T18:56:45+00:00,BNB,618.39,501.2,
2025,3,2025-03-19T19:00:35+00:00,CAKE,2.3832,1.7386,
